Marvin Bagley III,Sacramento Kings
Willie Cauley-Stein,Sacramento Kings
Bismack Biyombo,Sacramento Kings
Zach Collins,Sacramento Kings
Ignas Brazdeikis,Sacramento Kings
Justin James,Sacramento Kings
Ben McLemore,Sacramento Kings
De'Aaron Fox,Sacramento Kings
Gary Trent Jr.,Sacramento Kings
Isaiah Thomas,Sacramento Kings
DeMarcus Cousins,Sacramento Kings
Hassan Whiteside,Sacramento Kings
Skal Labissiere,Sacramento Kings
Kyle Anderson,San Antonio Spurs
Luka Samanic,San Antonio Spurs
Ian Mahinmi,San Antonio Spurs
Dejounte Murray,San Antonio Spurs
Jordan McRae,San Antonio Spurs
Keldon Johnson,San Antonio Spurs
Cory Joseph,San Antonio Spurs
Quinndary Weatherspoon,San Antonio Spurs
George Hill,San Antonio Spurs
Lonnie Walker IV,San Antonio Spurs
Goran Dragic,San Antonio Spurs
Derrick White,San Antonio Spurs
Kevin Durant,Seattle SuperSonics
Jakob Poeltl,Toronto Raptors
Bruno Caboclo,Toronto Raptors
DeMar DeRozan,Toronto Raptors
P.J. Tucker,Toronto Raptors
OG Anunoby,Toronto Raptors
Pascal Siakam,Toronto Raptors
Ed Davis,Toronto Raptors
Delon Wright,Toronto Raptors
Jonas Valanciunas,Toronto Raptors
Dewan Hernandez,Toronto Raptors
Terrence Ross,Toronto Raptors
Tyrone Wallace,Utah Jazz
Trey Lyles,Utah Jazz
Taurean Prince,Utah Jazz
Darius Bazley,Utah Jazz
Paul Millsap,Utah Jazz
Nigel Williams-Goss,Utah Jazz
Dante Exum,Utah Jazz
Thomas Bryant,Utah Jazz
CJ Miles,Utah Jazz
Rodney Hood,Utah Jazz
Josh Hart,Utah Jazz
Gordon Hayward,Utah Jazz
Grayson Allen,Utah Jazz
Alec Burks,Utah Jazz
Gorgui Dieng,Utah Jazz
Enes Kanter,Utah Jazz
Justin Wright-Foreman,Utah Jazz
JaVale McGee,Washington Wizards
Jordan Clarkson,Washington Wizards
Nemanja Bjelica,Washington Wizards
Rui Hachimura,Washington Wizards
John Wall,Washington Wizards
Otto Porter Jr.,Washington Wizards
Troy Brown Jr.,Washington Wizards
Tomas Satoransky,Washington Wizards
Bradley Beal,Washington Wizards
