id,full_name,first_name,last_name,is_active,team_id,birthdate,country,height,weight,position,team_name,from_year,to_year,points,assists,rebounds,all_star_appearances
1629152,DeVaughn Akoon-Purcell,DeVaughn,Akoon-Purcell,0,0,6/5/93,Trinidad and Tobago,78,200,Guard-Forward,,2018,2018,1,0.9,0.6,0
202374,Solomon Alabi,Solomon,Alabi,0,1610612761,3/21/88,Nigeria,85,252,Center,Raptors,2010,2011,1.5,0.2,2.3,0
76019,Mark Alarie,Mark,Alarie,0,1610612764,12/11/63,USA,80,217,Forward,Bullets,1986,1990,7.5,1.1,3.4,0
76020,Gary Alcorn,Gary,Alcorn,0,1610612765,10/8/36,USA,81,225,Center,Pistons,1959,1960,3.3,0.3,4.2,0
203128,Furkan Aldemir,Furkan,Aldemir,0,1610612755,8/9/91,Turkey,82,240,Forward-Center,76ers,2014,2014,2.3,0.7,4.3,0
202332,Cole Aldrich,Cole,Aldrich,0,1610612752,10/31/88,USA,83,253,Center,Knicks,2010,2017,3.1,0.5,3.3,0
200746,LaMarcus Aldridge,LaMarcus,Aldridge,1,1610612759,7/19/85,USA,83,250,Center-Forward,Spurs,2006,2020,13.7,1.7,4.5,
76021,Chuck Aleksinas,Chuck,Aleksinas,0,1610612744,2/26/59,USA,83,260,Center,Warriors,1984,1984,5.1,0.5,3.6,0
1626146,Cliff Alexander,Cliff,Alexander,0,1610612757,11/16/95,USA,80,240,Forward,Trail Blazers,2015,2015,1.3,0,0.8,0
724,Cory Alexander,Cory,Alexander,0,1610612759,6/22/73,USA,73,190,Guard,Spurs,1995,2004,5.5,2.7,1.6,0
2042,Courtney Alexander,Courtney,Alexander,0,1610612764,4/27/77,USA,77,205,Guard,Wizards,2000,2003,9,1.2,2.2,0
76022,Gary Alexander,Gary,Alexander,0,1610612739,11/1/69,USA,79,240,Forward,Cavaliers,1993,1993,1.7,0.2,1.4,0
201570,Joe Alexander,Joe,Alexander,0,1610612749,12/26/86,USA,80,230,Forward,Bucks,2008,2009,4.2,0.7,1.8,0
1629734,Kyle Alexander,Kyle,Alexander,1,1610612748,10/21/96,Canada,82,216,Forward-Center,Heat,2019,2019,1,0,1.5,0
2349,Victor Alexander,Victor,Alexander,0,1610612744,8/31/69,USA,82,265,Forward,Warriors,1991,2001,8.9,0.9,4.8,0
1629638,Nickeil Alexander-Walker,Nickeil,Alexander-Walker,1,1610612740,9/2/98,Canada,78,205,Guard,Pelicans,2019,2020,9.2,1.9,2.8,
76024,Steve Alford,Steve,Alford,0,1610612742,11/23/64,USA,74,183,Guard,Mavericks,1987,1990,4.4,1,0.9,0
1628959,Rawle Alkins,Rawle,Alkins,0,1610612741,10/29/97,USA,77,225,Guard,Bulls,2018,2018,3.7,1.3,2.6,0
76028,Bob Allen,Bob,Allen,0,1610612744,7/17/46,USA,81,205,Forward,Warriors,1968,1968,1.8,0.4,2.1,0
1628960,Grayson Allen,Grayson,Allen,1,1610612763,10/8/95,USA,76,198,Guard,Grizzlies,2018,2020,9.5,2.1,3.1,
1628386,Jarrett Allen,Jarrett,Allen,1,1610612739,4/21/98,USA,83,243,Center,Cavaliers,2017,2020,12.9,1.6,9.9,
706,Jerome Allen,Jerome,Allen,0,1610612754,1/28/73,USA,76,184,Guard,Pacers,1995,1996,2.9,1.7,1.1,0
1628443,Kadeem Allen,Kadeem,Allen,1,0,1/15/93,USA,73,200,Guard,,2017,2019,5.5,2.3,1.5,0
202730,Lavoy Allen,Lavoy,Allen,0,1610612754,2/4/89,USA,81,260,Forward-Center,Pacers,2011,2016,4.8,1,4.8,0
76027,Lucius Allen,Lucius,Allen,0,1610612749,9/26/47,USA,74,175,Guard,Bucks,1969,1978,13.4,4.5,3.1,0
2124,Malik Allen,Malik,Allen,0,1610612748,6/27/78,USA,82,255,Forward,Heat,2001,2010,4.9,0.5,2.8,0
76025,Randy Allen,Randy,Allen,0,1610612758,1/26/65,USA,80,220,Forward,Kings,1988,1989,3.6,0.3,2.1,0
951,Ray Allen,Ray,Allen,0,1610612749,7/20/75,USA,77,205,Guard,Bucks,1996,2013,18.9,3.4,4.1,10
2754,Tony Allen,Tony,Allen,0,0,1/11/82,USA,76,213,Guard-Forward,,2004,2017,8.1,1.3,3.5,0
76029,Odis Allison,Odis,Allison,0,1610612744,10/2/49,USA,78,195,Forward,Warriors,1971,1971,1.9,0.3,1.3,0
200984,Lance Allred,Lance,Allred,0,1610612739,2/2/81,USA,83,250,Center,Cavaliers,2007,2007,1,0,0.3,0
76030,Darrell Allums,Darrell,Allums,0,1610612742,9/12/58,USA,80,220,Forward,Mavericks,1980,1980,2.7,1.1,3,0
201165,Morris Almond,Morris,Almond,0,1610612762,2/2/85,USA,78,225,Guard,Jazz,2007,2011,3.1,0.3,1.2,0
308,Derrick Alston,Derrick,Alston,0,0,8/20/72,USA,83,225,Center,,1994,1996,5.4,0.7,3.8,0
1747,Rafer Alston,Rafer,Alston,0,1610612745,7/24/76,USA,74,175,Guard,Rockets,1999,2009,10.1,4.8,2.8,0
1824,Peter Aluma,Peter,Aluma,0,0,4/26/73,USA,82,260,Center,,1998,1998,1,0,1,0
680,John Amaechi,John,Amaechi,0,1610612753,11/26/70,United Kingdom,82,270,Forward-Center,Magic,1995,2002,6.2,0.8,2.6,0
732,Ashraf Amaya,Ashraf,Amaya,0,0,11/23/71,USA,80,230,Forward,,1995,1996,4.5,0.4,4.2,0
202329,Al-Farouq Aminu,Al-Farouq,Aminu,1,1610612753,9/21/90,USA,80,220,Forward,Magic,2010,2020,5.4,1.8,5.1,
200811,Lou Amundson,Lou,Amundson,0,1610612756,12/7/82,USA,81,220,Forward,Suns,2006,2015,3.7,0.4,3.6,0
76034,Bob Anderegg,Bob,Anderegg,0,1610612752,8/24/37,USA,75,200,Forward,Knicks,1959,1959,4,0.9,2.1,0
2365,Chris Andersen,Chris,Andersen,0,0,7/7/78,USA,82,245,Forward-Center,,2001,2016,5.4,0.5,5,0
2431,David Andersen,David,Andersen,0,0,6/23/80,Australia,,,,,2009,2017,4.9,0.6,2.8,0
101187,Alan Anderson,Alan,Anderson,0,1610612751,10/16/82,USA,78,220,Forward-Guard,Nets,2005,2016,7.3,1.1,2.2,0
202079,Antonio Anderson,Antonio,Anderson,0,0,6/5/85,USA,78,215,Guard,,2009,2009,2,0,1,0
76035,Cliff Anderson,Cliff,Anderson,0,1610612747,9/7/44,USA,74,200,Guard,Lakers,1967,1970,3,0.8,1.3,0
76036,Daniel Anderson,Daniel,Anderson,0,1610612757,1/1/51,USA,74,185,Guard,Trail Blazers,1974,1975,3.7,1.7,1,0
1507,Derek Anderson,Derek,Anderson,0,1610612757,7/18/74,USA,77,195,Guard,Trail Blazers,1997,2007,12,3.4,3.2,0
76037,Dwight Anderson,Dwight,Anderson,0,1610612743,12/28/60,USA,75,185,Guard,Nuggets,1982,1982,4.2,0.6,0.4,0
944,Eric Anderson,Eric,Anderson,0,1610612752,5/26/70,USA,81,220,Forward,Knicks,1992,1993,1.6,0.2,1.1,0
246,Greg Anderson,Greg,Anderson,0,1610612759,6/22/64,USA,82,250,Center-Forward,Spurs,1987,1997,7.3,0.6,6.2,0
202341,James Anderson,James,Anderson,0,1610612759,3/25/89,USA,78,213,Guard-Forward,Spurs,2010,2015,5.8,1.2,2.3,0
76040,Jerome Anderson,Jerome,Anderson,0,1610612754,10/9/53,USA,77,195,Guard,Pacers,1975,1976,2.6,0.3,0.5,0
1626147,Justin Anderson,Justin,Anderson,1,1610612751,11/19/93,USA,77,231,Forward-Guard,Nets,2015,2019,5.2,0.7,2.5,0
72,Kenny Anderson,Kenny,Anderson,0,0,10/9/70,USA,73,168,Guard,,1991,2004,12.6,6.1,3.1,1
76041,Kim Anderson,Kim,Anderson,0,1610612757,5/12/55,USA,79,200,Forward,Trail Blazers,1978,1978,3,0.7,2.1,0
203937,Kyle Anderson,Kyle,Anderson,1,1610612763,9/20/93,USA,81,230,Forward-Guard,Grizzlies,2014,2020,12.8,3.4,5.8,
76042,Michael Anderson,Michael,Anderson,0,1610612759,3/23/66,USA,71,184,Guard,Spurs,1988,1988,5.7,4.3,2.5,0
76043,Mitchell Anderson,Mitchell,Anderson,0,1610612762,9/23/60,USA,80,195,Forward,Jazz,1982,1984,4.8,0.7,2.8,0
98,Nick Anderson,Nick,Anderson,0,1610612753,1/20/68,USA,78,228,Forward-Guard,Magic,1989,2002,14.4,2.6,5.1,0
76045,Richard Anderson,Richard,Anderson,0,1610612757,11/19/60,USA,82,240,Forward,Trail Blazers,1982,1989,5.6,1.5,3.5,0
76046,Ron Anderson,Ron,Anderson,0,1610612755,10/15/58,USA,79,215,Forward,76ers,1984,1993,10.6,1.4,3.5,0
201583,Ryan Anderson,Ryan,Anderson,1,0,5/6/88,USA,81,240,Forward,,2008,2019,12.3,0.9,5.3,0
1000,Shandon Anderson,Shandon,Anderson,0,1610612752,12/31/73,USA,78,215,Guard-Forward,Knicks,1996,2005,7.4,1.4,3.1,0
335,Willie Anderson,Willie,Anderson,0,1610612759,1/8/67,USA,80,200,Guard-Forward,Spurs,1988,1996,12.2,3.8,3.8,0
76048,Wally Anderzunas,Wally,Anderzunas,0,1610612758,1/11/46,USA,79,220,Center,Royals,1969,1969,3.6,0.2,1.9,0
101149,Martynas Andriuskevicius,Martynas,Andriuskevicius,0,1610612739,3/12/86,Lithuania,86,240,Center,Cavaliers,2005,2006,0,0,0.7,0
76049,Don Anielak,Don,Anielak,0,1610612752,11/1/30,USA,79,190,Forward,Knicks,1954,1954,3,0,2,0
1628387,Ike Anigbogu,Ike,Anigbogu,0,0,10/16/98,USA,82,250,Center,,2017,2018,0.9,0.1,0.9,0
76050,Michael Ansley,Michael,Ansley,0,1610612753,2/8/67,USA,79,225,Forward,Magic,1989,1991,6.9,0.4,4.2,0
1512,Chris Anstey,Chris,Anstey,0,1610612742,1/1/75,Australia,84,249,Center,Mavericks,1997,1999,5.2,0.8,3.4,0
203507,Giannis Antetokounmpo,Giannis,Antetokounmpo,1,1610612749,12/6/94,Greece,83,242,Forward,Bucks,2013,2020,29,6.4,11.7,
1628961,Kostas Antetokounmpo,Kostas,Antetokounmpo,1,1610612747,11/20/97,Greece,82,200,Forward,Lakers,2018,2020,1.2,0,1.8,
203648,Thanasis Antetokounmpo,Thanasis,Antetokounmpo,1,1610612749,7/18/92,Greece,78,219,Forward,Bucks,2015,2020,2.2,0.7,2,
2546,Carmelo Anthony,Carmelo,Anthony,1,1610612757,5/29/84,USA,79,238,Forward,Trail Blazers,2003,2020,14,1.7,3.3,
21,Greg Anthony,Greg,Anthony,0,1610612752,11/15/67,USA,73,180,Guard,Knicks,1991,2001,7.3,4,1.9,0
201202,Joel Anthony,Joel,Anthony,0,1610612748,8/9/82,Canada,81,245,Center,Heat,2007,2016,2.2,0.2,2.8,0
203544,Pero Antic,Pero,Antic,0,1610612737,7/29/82,Macedonia,83,260,Forward-Center,Hawks,2013,2014,6.3,0.9,3.5,0
1628384,OG Anunoby,OG,Anunoby,1,1610612761,7/17/97,United Kingdom,79,232,Forward,Raptors,2017,2020,14,1.6,5.7,
203951,Keith Appling,Keith,Appling,0,0,2/13/92,USA,73,185,Guard,,2015,2015,1.2,0.2,0.2,0
2737,Rafael Araujo,Rafael,Araujo,0,1610612761,8/12/80,Brazil,83,270,Center,Raptors,2004,2006,2.8,0.3,2.8,0
76053,Stacey Arceneaux,Stacey,Arceneaux,0,1610612737,2/17/36,USA,76,210,Forward,Hawks,1961,1961,7.1,0.6,4.6,0
76054,Nate Archibald,Nate,Archibald,0,1610612758,9/2/48,USA,73,150,Guard,Kings,1970,1983,18.8,7.4,2.3,6
2425,Robert Archibald,Robert,Archibald,0,1610612761,3/29/80,Scotland,83,250,Forward,Raptors,2002,2003,1.2,0.4,1.6,0
1627853,Ryan Arcidiacono,Ryan,Arcidiacono,1,1610612741,3/26/94,USA,75,195,Guard,Bulls,2017,2020,3.2,1.2,1.6,
76055,Jim Ard,Jim,Ard,0,1610612738,9/19/48,USA,81,215,Center,Celtics,1974,1977,3.5,0.7,3.8,0
2240,Gilbert Arenas,Gilbert,Arenas,0,1610612764,1/6/82,USA,76,215,Guard,Wizards,2001,2011,20.7,5.3,3.9,3
2772,Trevor Ariza,Trevor,Ariza,1,1610612748,6/30/85,USA,80,215,Forward,Heat,2004,2020,4,1,3.3,
76056,Paul Arizin,Paul,Arizin,0,1610612744,4/9/28,USA,76,190,Forward,Warriors,1950,1961,22.8,2.3,8.6,9
76057,Joe Arlauckas,Joe,Arlauckas,0,1610612758,7/20/65,USA,81,230,Forward,Kings,1987,1987,3.8,0.9,1.4,0
769,B.J. Armstrong,B.J.,Armstrong,0,1610612741,9/9/67,USA,74,185,Guard,Bulls,1989,1999,9.8,3.3,1.8,1
76061,Bob Armstrong,Bob,Armstrong,0,1610612744,6/17/33,USA,80,220,Center,Warriors,1956,1956,1.5,0.2,2.1,0
2220,Brandon Armstrong,Brandon,Armstrong,0,1610612751,6/16/80,USA,77,185,Guard,Nets,2001,2003,2.2,0.2,0.6,0
353,Darrell Armstrong,Darrell,Armstrong,0,1610612753,6/22/68,USA,73,180,Guard,Magic,1994,2007,9.2,4,2.7,0
200756,Hilton Armstrong,Hilton,Armstrong,0,1610612740,11/23/84,USA,83,235,Forward-Center,Hornets,2006,2013,3,0.3,2.6,0
76060,Paul Armstrong,Paul,Armstrong,0,1610612765,11/1/18,USA,71,170,Guard,Pistons,1948,1950,6.8,2.3,2.3,0
76059,Tate Armstrong,Tate,Armstrong,0,1610612741,10/5/55,USA,75,175,Guard,Bulls,1977,1978,3.8,1.1,1,0
76062,Jesse Arnelle,Jesse,Arnelle,0,1610612765,12/30/33,USA,77,220,Forward,Pistons,1955,1955,4.7,0.6,5.5,0
76063,Jay Arnette,Jay,Arnette,0,1610612758,12/19/38,USA,74,175,Guard,Royals,1963,1965,3.7,1.2,1,0
76064,Bob Arnzen,Bob,Arnzen,0,1610612758,11/3/47,USA,77,205,Forward,Royals,1970,1970,5.5,0.4,2.8,0
2306,Carlos Arroyo,Carlos,Arroyo,0,1610612753,7/30/79,Puerto Rico,74,200,Guard,Magic,2001,2010,6.6,3.1,1.7,0
201589,Darrell Arthur,Darrell,Arthur,0,1610612743,3/25/88,USA,81,235,Forward,Nuggets,2008,2017,6.5,0.8,3.5,0
76065,John Arthurs,John,Arthurs,0,1610612749,8/15/47,USA,76,185,Guard,Bucks,1969,1969,3.2,1.5,1.3,0
1628503,Jamel Artis,Jamel,Artis,0,1610612753,1/12/93,USA,79,213,Guard,Magic,2017,2017,5.1,1.2,2.5,0
201600,Omer Asik,Omer,Asik,0,1610612740,7/4/86,Turkey,84,255,Center,Pelicans,2010,2017,5.3,0.6,7.1,0
355,Vincent Askew,Vincent,Askew,0,0,2/28/66,USA,78,210,Guard,,1987,1997,7.1,2.2,2.5,0
173,Keith Askins,Keith,Askins,0,1610612748,12/15/67,USA,80,215,Forward-Guard,Heat,1990,1998,3.8,0.8,2.9,0
76068,Don Asmonga,Don,Asmonga,0,1610610024,2/15/28,USA,74,185,Guard,Bullets,1953,1953,0.7,0.7,0.1,0
76069,Richard Atha,Richard,Atha,0,1610612752,9/21/31,USA,74,190,Guard,Knicks,1955,1957,3.2,1.2,1.5,0
1088,Chucky Atkins,Chucky,Atkins,0,1610612765,8/14/74,USA,71,185,Guard,Pistons,1999,2009,9.9,3.4,1.7,0
76070,Alvin Attles,Alvin,Attles,0,1610612744,11/7/36,USA,73,175,Guard,Warriors,1960,1970,8.9,3.5,3.5,0
76071,Chet Aubuchon,Chet,Aubuchon,0,1610610028,5/8/16,USA,70,137,Guard,Falcons,1946,1946,2.2,0.7,,0
278,Stacey Augmon,Stacey,Augmon,0,1610612737,8/1/68,USA,80,213,Forward-Guard,Hawks,1991,2005,8,1.6,3.2,0
201571,D.J. Augustin,D.J.,Augustin,1,1610612745,11/10/87,USA,71,183,Guard,Rockets,2008,2020,6.1,3,1.4,
200788,James Augustine,James,Augustine,0,1610612753,2/27/84,USA,82,235,Forward,Magic,2006,2007,1.6,0.1,1.2,0
1134,Ike Austin,Ike,Austin,0,0,8/18/69,USA,82,288,Center,,1991,2001,7.6,1.2,4.7,0
76073,John Austin,John,Austin,0,1610612764,8/31/44,USA,72,170,Guard,Bullets,1966,1966,5.8,1,1.8,0
76074,Ken Austin,Ken,Austin,0,1610612765,7/15/61,USA,81,205,Forward,Pistons,1983,1983,1.7,0.1,0.4,0
138,Anthony Avent,Anthony,Avent,0,1610612749,10/18/69,USA,81,240,Center,Bucks,1992,1999,5.6,0.8,4.5,0
76076,William Averitt,William,Averitt,0,1610612746,7/22/52,USA,74,170,Guard,Braves,1976,1977,8.3,2.5,1.2,0
1895,William Avery,William,Avery,0,1610612750,8/8/79,USA,74,180,Guard,Timberwolves,1999,2002,2.7,1.4,0.7,0
76078,Dennis Awtrey,Dennis,Awtrey,0,1610612756,2/22/48,USA,82,235,Center,Suns,1970,1981,4.8,2,4.6,0
202970,Gustavo Ayon,Gustavo,Ayon,0,0,4/1/85,Mexico,,,,,2011,2016,4.7,1.3,4.4,0
201965,Jeff Ayres,Jeff,Ayres,0,1610612759,4/29/87,USA,81,250,Forward-Center,Spurs,2009,2015,2.9,0.4,2.7,0
1629028,Deandre Ayton,Deandre,Ayton,1,1610612756,7/23/98,Bahamas,83,250,Center,Suns,2018,2020,14.5,1.6,11,
101235,Kelenna Azubuike,Kelenna,Azubuike,0,1610612744,12/16/83,United Kingdom,77,215,Guard,Warriors,2006,2011,10.5,1.1,4,0
203569,Chris Babb,Chris,Babb,0,1610612738,2/14/90,USA,77,225,Guard,Celtics,2013,2014,1.6,0.2,1.2,0
202337,Luke Babbitt,Luke,Babbitt,0,1610612748,6/20/89,USA,81,225,Forward,Heat,2010,2017,4.8,0.6,2.2,0
76079,Milos Babic,Milos,Babic,0,1610612739,11/23/68,USA,84,240,Center,Cavaliers,1990,1991,1.8,0.5,1,0
76080,Johnny Bach,Johnny,Bach,0,1610612738,7/10/24,USA,74,180,Forward,Celtics,1948,1948,3.5,0.7,,0
1628407,Dwayne Bacon,Dwayne,Bacon,1,1610612753,8/30/95,USA,78,221,Guard-Forward,Magic,2017,2020,9.9,1.1,2.8,
76081,Jim Baechtold,Jim,Baechtold,0,1610612752,12/9/27,USA,76,205,Forward,Knicks,1952,1956,9.7,2.1,3.1,0
2053,Dalibor Bagaric,Dalibor,Bagaric,0,1610612741,7/2/80,Croatia,85,290,Center,Bulls,2000,2002,2.6,0.4,2.5,0
76082,John Bagley,John,Bagley,0,1610612739,4/23/60,USA,72,185,Guard,Cavaliers,1982,1993,8.7,6,2.6,0
1628963,Marvin Bagley III,Marvin,Bagley III,1,1610612758,3/14/99,USA,83,235,Forward,Kings,2018,2020,13.9,0.9,7.4,
76084,Carl Bailey,Carl,Bailey,0,1610612757,4/23/58,USA,84,210,Center,Trail Blazers,1981,1981,2,0,0,0
76083,Gus Bailey,Gus,Bailey,0,1610612745,2/18/51,USA,77,185,Guard,Rockets,1974,1979,2.6,1.1,1.7,0
76085,James Bailey,James,Bailey,0,1610612760,5/21/57,USA,81,220,Forward,SuperSonics,1979,1987,8.8,0.8,5,0
1847,Thurl Bailey,Thurl,Bailey,0,1610612762,4/7/61,USA,83,247,Forward,Jazz,1983,1998,12.8,1.4,5.1,0
1753,Toby Bailey,Toby,Bailey,0,1610612756,11/19/75,USA,78,213,Guard,Suns,1998,2002,3.3,0.6,1.7,0
203946,Cameron Bairstow,Cameron,Bairstow,0,1610612741,12/7/90,Australia,81,250,Forward-Center,Bulls,2014,2015,1.2,0.2,1,0
1858,Mark Baker,Mark,Baker,0,0,11/11/69,USA,73,175,Guard,,1998,1998,0,0,0,0
2486,Maurice Baker,Maurice,Baker,0,0,7/28/79,USA,74,200,Guard,,2002,2004,0,0.2,0.4,0
76089,Norm Baker,Norm,Baker,0,1610610025,2/17/23,Canada,72,180,Guard,Stags,1946,1946,0,0,,0
1627758,Ron Baker,Ron,Baker,0,0,3/30/93,USA,76,220,Guard,,2016,2018,3.1,1.8,1.4,0
452,Vin Baker,Vin,Baker,0,1610612760,11/23/71,USA,83,240,Forward,SuperSonics,1993,2005,15,1.9,7.4,4
1627735,Wade Baldwin IV,Wade,Baldwin IV,0,0,3/29/96,USA,76,200,Guard,,2016,2018,3.1,1.4,1.2,0
200764,Renaldo Balkman,Renaldo,Balkman,0,0,7/14/84,USA,80,225,Forward,,2006,2011,4,0.6,3.5,0
76090,Cedric Ball,Cedric,Ball,0,1610612746,4/16/68,USA,80,210,Forward,Clippers,1990,1990,1.1,0,1.6,0
1628366,Lonzo Ball,Lonzo,Ball,1,1610612740,10/27/97,USA,78,190,Guard,Pelicans,2017,2020,14.2,5.6,4.2,
76091,Greg Ballard,Greg,Ballard,0,1610612764,1/29/55,USA,79,215,Forward,Bullets,1977,1988,12.4,2.2,6.1,0
76092,Herschel Baltimore,Herschel,Baltimore,0,1610610034,6/21/21,USA,76,195,Forward,Bombers,1946,1946,2.4,0.3,,0
1628964,Mo Bamba,Mo,Bamba,1,1610612753,5/12/98,USA,84,231,Center,Magic,2018,2020,4.6,0.3,3.9,
76093,Gene Banks,Gene,Banks,0,1610612759,5/15/59,USA,79,215,Forward,Spurs,1981,1986,11.3,2.9,5.8,0
2556,Marcus Banks,Marcus,Banks,0,1610612738,11/19/81,USA,74,205,Guard,Celtics,2003,2010,5.9,2.1,1.5,0
76094,Ken Bannister,Ken,Bannister,0,1610612752,4/1/60,USA,81,235,Forward,Knicks,1984,1990,5.9,0.4,3.5,0
76095,Mike Bantom,Mike,Bantom,0,1610612754,12/3/51,USA,81,200,Forward,Pacers,1973,1981,12.1,2.3,6.4,0
76096,John Barber,John,Barber,0,1610612737,6/27/27,USA,78,210,Forward,Hawks,1956,1956,1.4,0,1.2,0
2571,Leandro Barbosa,Leandro,Barbosa,0,1610612756,11/28/82,Brazil,75,194,Guard,Suns,2003,2016,10.6,2.1,2,0
76097,Stephen Bardo,Stephen,Bardo,0,1610612742,4/5/68,USA,77,190,Guard,Mavericks,1991,1995,2.2,1.3,1.8,0
200826,J.J. Barea,J.J.,Barea,1,1610612742,6/26/84,Puerto Rico,70,180,Guard,Mavericks,2006,2019,8.9,3.9,2.1,0
200745,Andrea Bargnani,Andrea,Bargnani,0,0,10/26/85,Italy,84,245,Center-Forward,,2006,2015,14.3,1.2,4.6,0
76098,Cliff Barker,Cliff,Barker,0,1610610030,1/15/21,USA,74,185,Guard,Olympians,1949,1951,3.7,2,1.8,0
76099,Tom Barker,Tom,Barker,0,1610612737,3/11/55,USA,83,225,Center,Hawks,1976,1978,6.5,0.8,5.3,0
787,Charles Barkley,Charles,Barkley,0,1610612755,2/20/63,USA,78,252,Forward,76ers,1984,1999,22.1,3.9,11.7,9
